City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
2,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
5,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
7,Rikitea,PF,74.23,light rain,-23.1203,-134.9692,People ThankYou
13,Hilo,US,74.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
14,Ulaangom,MN,76.12,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
16,Tongren,CN,83.8,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
23,Itarema,BR,77.95,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
26,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
28,Mpulungu,ZM,76.77,clear sky,-8.7623,31.1141,Chela moche guest house
33,Kapaa,US,77.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Prescott,US,72.9,broken clouds,34.54,-112.4685,Prescott Resort & Conference Center
36,Nanning,CN,86.45,light rain,22.8167,108.3167,Nanning Travelling With Hostel
39,Jamestown,US,73.71,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Saint George,US,88.63,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
41,Aksay,RU,71.24,light rain,47.26,39.87,Chernaya Zhemchuzhina
45,Atuona,PF,78.17,scattered clouds,-9.8,-139.0333,Villa Enata
46,Hasaki,JP,73.8,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
48,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
51,Sao Filipe,CV,75.88,scattered clouds,14.8961,-24.4956,Hotel Xaguate
52,Saint-Philippe,RE,79.21,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Airai,TL,74.73,broken clouds,-8.9266,125.4092,Juvinal Martin
55,Yekaterinovka,RU,76.35,broken clouds,52.0508,44.3451,Gostinitsa
57,Hobyo,SO,81.23,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
59,Waingapu,ID,87.64,clear sky,-9.6567,120.2641,Pondok Wisata Elim
60,Soto La Marina,MX,75.96,clear sky,23.7667,-98.2167,Hotel Chicago
61,Dicabisagan,PH,85.48,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
62,Vega De Alatorre,MX,78.53,clear sky,20.0333,-96.6333,El Polo Norte
64,Meulaboh,ID,83.68,overcast clouds,4.1363,96.1285,Kost Pria
67,Iglesias,IT,78.75,overcast clouds,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia sud-ovest, trekkink climbing Masua"
68,Melito Di Porto Salvo,IT,84.56,clear sky,37.9222,15.7714,B&B Nereidi
70,Changzhou,CN,84.97,moderate rain,31.7833,119.9667,Gongyuan Hotel
73,Bethel,US,80.92,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
74,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
75,Kismayo,SO,79.65,scattered clouds,-0.3582,42.5454,Agan-Hotel
76,Sunland Park,US,72.32,overcast clouds,31.7965,-106.58,SpringHill Suites by Marriott El Paso
77,Kribi,CM,75.49,light rain,2.95,9.9167,Les Vagues bleues
