City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,50.81,75,11,20.65,few clouds
1,Port Hedland,AU,-20.3167,118.5667,86.05,15,0,10.36,clear sky
2,Kavieng,PG,-2.5744,150.7967,81.99,74,100,9.24,overcast clouds
3,Nanortalik,GL,60.1432,-45.2371,44.71,81,74,5.28,broken clouds
4,Gejiu,CN,23.306,103.1635,68.02,79,100,5.46,overcast clouds
5,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,5,3.98,clear sky
6,Busselton,AU,-33.65,115.3333,63.05,67,92,9.19,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,74.23,82,17,13.15,light rain
8,Pervomayskoye,RU,43.919,46.7102,91.56,32,11,6.8,few clouds
9,Mataura,NZ,-46.1927,168.8643,50.49,95,22,1.03,few clouds
10,Vaini,TO,-21.2,-175.2,68.16,77,40,9.22,scattered clouds
11,Mbini,GQ,1.574,9.6134,75.04,85,100,4.7,overcast clouds
12,Atagay,RU,55.1033,99.3875,75.88,50,100,5.08,overcast clouds
13,Hilo,US,19.7297,-155.09,74.8,90,31,3.0,light rain
14,Ulaangom,MN,49.9811,92.0667,76.12,40,43,7.11,scattered clouds
15,Camacha,PT,33.0833,-16.3333,68.76,78,40,5.75,scattered clouds
16,Tongren,CN,27.7172,109.1853,83.8,86,100,1.34,light rain
17,Ushuaia,AR,-54.8,-68.3,42.46,81,75,18.41,light intensity drizzle
18,Cape Town,ZA,-33.9258,18.4232,50.88,74,0,4.0,clear sky
19,Port Alfred,ZA,-33.5906,26.891,54.54,61,81,9.31,broken clouds
20,Khatanga,RU,71.9667,102.5,57.02,54,94,9.6,overcast clouds
21,Port Macquarie,AU,-31.4333,152.9167,66.16,65,37,9.84,scattered clouds
22,Ilulissat,GL,69.2167,-51.1,43.39,71,100,5.37,overcast clouds
23,Itarema,BR,-2.9248,-39.9167,77.95,82,10,15.08,clear sky
24,Albany,US,42.6001,-73.9662,74.32,94,94,2.93,overcast clouds
25,Iqaluit,CA,63.7506,-68.5145,44.33,93,90,10.36,light rain
26,Cayenne,GF,4.9333,-52.3333,77.09,89,0,0.0,clear sky
27,Namibe,AO,-15.1961,12.1522,62.08,84,0,4.63,clear sky
28,Mpulungu,ZM,-8.7623,31.1141,76.77,40,0,4.83,clear sky
29,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,94,90,8.05,mist
30,Nome,US,64.5011,-165.4064,51.17,71,77,4.54,broken clouds
31,Inta,RU,66.0317,60.1659,58.17,95,100,15.32,overcast clouds
32,Thompson,CA,55.7435,-97.8558,46.56,53,20,3.44,few clouds
33,Kapaa,US,22.0752,-159.319,77.11,59,6,1.01,clear sky
34,Esperance,AU,-33.8667,121.9,66.04,49,3,7.9,clear sky
